Customer_ID,Name,Account_Number,Account_Type,Loan_Type,Loan_Amount,Outstanding_Amount,EMI_Amount,Due_Date,Payment_Status,Collection_Agent,Last_Payment_Date,Payment_Delay_Days,Region,Contact_Number,Email,Customer_Score,Risk_Level
CUST00000,Richard Mccarty,81087F51-C9F,Current,Car Loan,299783,119495.19,2597.72,2023-12-05,Paid,Tyler Copeland,2023-10-06,0,West,001-713-059-9538x4286,diane22@gmail.com,557,Medium
CUST00001,Patrick Kane,819326DB-44D,Current,Home Loan,46987,37830.59,1576.27,2023-04-07,Paid,Lindsey Doyle,2023-03-20,0,South,001-118-785-4275,edward97@yahoo.com,500,High
CUST00002,Jean Morgan,A8682A8D-986,Current,Home Loan,259917,112988.74,4035.31,2024-10-31,Missed,Shawna Smith,,43,East,+1-158-183-9055,ifranklin@gmail.com,342,High
CUST00003,Michael Green,45516DAD-9C8,Credit,Personal Loan,198807,122047.34,3698.4,2024-01-23,Partially Paid,Peter Miller,2023-11-10,84,South,828-258-5077,craig92@franklin-lindsey.com,806,Low
CUST00004,Tony Greene,18D78B45-41D,Savings,Home Loan,411507,113899.82,3254.28,2023-05-10,Partially Paid,Erin Moore,2023-04-11,31,North,(611)277-3109x276,obaker@peterson.com,755,Low
CUST00005,Nicole Morrison,577883C6-70F,Credit,Car Loan,472191,229361.28,8191.47,2024-01-28,Missed,Stacy Campbell,,61,West,430.639.2780,erinmartinez@cortez.com,825,Low
CUST00006,Thomas Wilson,8EF4F942-7B5,Savings,Home Loan,276770,55115.12,1670.16,2023-12-16,Paid,Nicole Carney,2023-09-08,0,West,110.428.5459,pearsonamy@yahoo.com,610,Medium
CUST00007,Amy Koch,B17597A1-5E6,Savings,Car Loan,227696,28727.65,598.49,2024-10-19,Paid,Brandon Lopez,2023-12-09,0,North,(066)547-1986,bobby15@hotmail.com,741,Low
CUST00008,Bradley Dunn,F6DCAF3F-C2F,Credit,Personal Loan,431801,160464.56,4719.55,2024-03-26,Missed,Michael Wilson,,46,West,701-738-7544x322,ericmckinney@young.info,425,High
CUST00009,Anna Miller,F77180B5-03D,Current,Car Loan,425430,277212.85,6160.29,2023-03-01,Missed,Savannah Graves,,85,West,+1-203-503-8300x077,rhodestimothy@thompson.com,837,Low
CUST00010,Angela Thompson,00D2E558-C7C,Credit,Personal Loan,154055,5688.85,379.26,2024-06-26,Missed,Jennifer Rocha,,89,West,001-245-862-2782x4096,ugibson@gmail.com,376,High
CUST00011,Kristy Martinez,EFCE7BF7-7B7,Credit,Car Loan,479123,253391.89,19491.68,2024-01-20,Partially Paid,Miranda Calderon,2023-03-30,35,South,(128)707-3067x45592,johnsonlaura@fernandez-butler.com,833,Low
CUST00012,Brenda Fox MD,8C9B20DB-3C8,Current,Car Loan,206801,146022.64,2517.63,2024-04-21,Partially Paid,Daniel Melton,2023-11-25,35,West,(076)839-1426x6272,ortizbryan@yahoo.com,635,Medium
CUST00013,Jessica Robinson,EBE73804-23A,Savings,Home Loan,407207,166936.05,2981.0,2024-12-21,Missed,Thomas Dillon,,57,East,(384)691-8825x925,carrlisa@rodriguez-frost.net,678,Medium
CUST00014,Brett Osborne,31BA91B1-51D,Current,Home Loan,135056,98659.99,8221.67,2024-09-21,Missed,Mary Alvarado,,89,South,+1-196-840-3145,michaela29@ballard.info,711,Low
CUST00015,Angela Lynch,57DA230E-21B,Savings,Car Loan,194902,80050.52,2760.36,2023-04-20,Partially Paid,Ellen Hall,2023-01-29,22,North,+1-346-978-3806x069,mdunn@hotmail.com,357,High
